ID_Funcionario,Departamento,Cargo,Nivel_Hierarquico,Estado,Genero,Etnia,Regime_Trabalho,Turno,Data_Admissao,Data_Desligamento,Motivo_Desligamento,Status,Salario_Bruto,Horas_Treinamento_Ano,Avaliacao_Desempenho,Dias_Falta_Ano,Beneficios
FUNC-0118,Comercial,Coordenador Comercial,Especialista,RJ,Masculino,Pardo,CLT 44h,Híbrido,2019-11-04,2022-12-19,Desligamento por baixa performance,Desligado,8282.37,14,3.9,2,Plano Odontológico|Stock Options|Home Office|PLR|Plano de Saúde|Vale Refeição
FUNC-0119,Comercial,Assistente Comercial,Júnior,RJ,Não Informado,Não Informado,PJ,Presencial,2024-01-10,,,Ativo,2544.87,8,3.8,8,Vale Refeição|Home Office|Seguro de Vida
FUNC-0120,RH,Analista de RH Pl,Pleno,BA,Feminino,Branco,CLT 40h,Home Office,2020-01-14,2023-06-27,Pedido do colaborador,Desligado,4708.74,8,4.5,3,Plano Odontológico|Plano de Saúde|Auxílio Creche|Gympass
FUNC-0121,Tecnologia,Desenvolvedor Backend Jr,Júnior,RS,Masculino,Branco,CLT 44h,Híbrido,2018-07-23,,,Ativo,3639.46,13,3.4,1,Stock Options|PLR|Vale Refeição
FUNC-0122,RH,Analista de RH Pl,Pleno,SP,Feminino,Não Informado,CLT 40h,Presencial,2016-05-25,,,Ativo,5310.25,16,4.0,3,Plano de Saúde|Seguro de Vida|Vale Refeição|Vale Transporte
FUNC-0123,Operações,Técnico de Operações Pl,Pleno,SC,Masculino,Indígena,CLT 44h,Híbrido,2024-01-12,,,Ativo,5771.96,12,4.0,2,PLR|Vale Refeição|Gympass|Auxílio Creche
FUNC-0124,Tecnologia,Desenvolvedor Frontend Sr,Sênior,RJ,Masculino,Preto,CLT 40h,Híbrido,2017-03-03,2019-06-18,Pedido do colaborador,Desligado,11000.0,26,2.7,2,Vale Refeição|Auxílio Creche|Vale Transporte|Seguro de Vida|PLR
FUNC-0125,Tecnologia,Desenvolvedor Backend Jr,Júnior,MG,Feminino,Pardo,CLT 44h,Presencial,2023-01-28,2023-10-28,Pedido do colaborador,Desligado,4444.25,20,3.7,2,Vale Transporte|Auxílio Creche|PLR
FUNC-0126,Jurídico,Advogado Pl,Pleno,SP,Masculino,Pardo,CLT 44h,Híbrido,2021-05-27,2023-10-30,Desligamento sem justa causa,Desligado,8966.99,17,4.0,1,Vale Refeição|PLR|Auxílio Creche|Stock Options
FUNC-0127,Comercial,Analista Comercial Pl,Pleno,SC,Feminino,Preto,CLT 44h,Noturno,2022-12-11,,,Ativo,5492.77,36,3.6,3,Seguro de Vida|Plano Odontológico|PLR|Auxílio Creche
FUNC-0128,Operações,Técnico de Operações Pl,Pleno,MG,Masculino,Pardo,CLT 44h,Noturno,2021-01-05,,,Ativo,4402.17,22,3.3,0,Home Office|Vale Refeição|Stock Options|Auxílio Creche
FUNC-0129,Jurídico,Advogado Pl,Pleno,GO,Feminino,Pardo,PJ,Presencial,2023-01-04,,,Ativo,10119.96,27,2.9,1,Gympass|Seguro de Vida|Plano de Saúde|Vale Refeição
FUNC-0130,Tecnologia,Tech Lead,Especialista,PE,Feminino,Branco,CLT 44h,Híbrido,2022-12-15,2023-07-27,Desligamento sem justa causa,Desligado,16000.0,17,3.9,2,Gympass|Plano Odontológico|Vale Transporte|Seguro de Vida|Auxílio Creche|Plano de Saúde
FUNC-0131,Marketing,Designer Sr,Sênior,MG,Feminino,Branco,CLT 40h,Presencial,2023-06-18,,,Ativo,9166.21,58,2.7,5,Plano Odontológico|Stock Options|PLR|Gympass|Auxílio Creche
FUNC-0132,Tecnologia,Desenvolvedor Backend Sr,Sênior,SC,Masculino,Pardo,CLT 40h,Híbrido,2021-04-07,2021-08-19,Pedido do colaborador,Desligado,16596.33,11,4.0,13,Home Office|Vale Refeição|PLR|Auxílio Creche|Plano Odontológico
FUNC-0133,Comercial,Coordenador Comercial,Especialista,MG,Não Informado,Pardo,CLT 44h,Híbrido,2024-05-22,,,Ativo,9974.79,9,3.6,2,Stock Options|Vale Transporte|Home Office|Plano de Saúde|Seguro de Vida|Auxílio Creche
FUNC-0134,Financeiro,Assistente Financeiro,Júnior,RJ,Feminino,Branco,CLT 40h,Híbrido,2020-12-05,,,Ativo,2901.18,19,2.5,1,Auxílio Creche|Vale Transporte|PLR
FUNC-0135,Jurídico,Advogado Pl,Pleno,SP,Masculino,Branco,CLT 44h,Home Office,2021-07-21,2024-06-15,Pedido do colaborador,Ativo,11490.61,19,3.8,0,Plano de Saúde|Stock Options|Gympass|PLR
FUNC-0136,Tecnologia,Desenvolvedor Frontend Pl,Pleno,MG,Masculino,Amarelo,CLT 44h,Híbrido,2019-10-27,2021-11-22,Pedido do colaborador,Desligado,7732.98,4,2.4,1,Vale Refeição|Auxílio Creche|Stock Options|Plano de Saúde
FUNC-0137,RH,Analista de RH Sr,Sênior,PE,Feminino,Pardo,CLT 40h,Híbrido,2024-07-17,,,Ativo,8411.73,18,3.2,1,Home Office|Vale Refeição|Vale Transporte|Gympass|Auxílio Creche
FUNC-0138,Tecnologia,Desenvolvedor Backend Sr,Sênior,RJ,Feminino,Pardo,PJ,Híbrido,2024-12-16,,,Ativo,17751.38,21,4.1,5,Auxílio Creche|Seguro de Vida|Vale Transporte|Home Office|Plano de Saúde
FUNC-0139,Comercial,Diretor Comercial,Diretoria,SC,Feminino,Branco,PJ,Home Office,2024-08-27,,,Ativo,30648.73,16,2.6,2,Stock Options|Plano Odontológico|Auxílio Creche|Home Office|Vale Transporte|Vale Refeição|Gympass|Seguro de Vida
FUNC-0140,RH,Analista de RH Sr,Sênior,PR,Feminino,Branco,CLT 40h,Presencial,2015-09-18,2019-05-17,Desligamento sem justa causa,Desligado,11000.0,30,3.7,3,Vale Refeição|Plano Odontológico|Plano de Saúde|Stock Options|Gympass
FUNC-0141,RH,Coordenador de RH,Especialista,GO,Feminino,Branco,PJ,Híbrido,2018-07-05,2024-06-19,Pedido do colaborador,Desligado,10901.44,32,4.3,2,Auxílio Creche|PLR|Vale Refeição|Seguro de Vida|Home Office|Gympass
FUNC-0142,Comercial,Consultor de Vendas Sr,Sênior,RJ,Masculino,Branco,CLT 40h,Presencial,2016-11-19,2019-04-13,Pedido do colaborador,Desligado,7166.8,12,4.0,2,PLR|Vale Refeição|Home Office|Stock Options|Gympass
FUNC-0143,Comercial,Assistente Comercial,Júnior,SP,Feminino,Branco,CLT 44h,Híbrido,2015-11-15,2022-11-16,Desligamento por baixa performance,Desligado,2933.12,13,4.5,0,Auxílio Creche|Plano Odontológico|PLR
FUNC-0144,Comercial,Gerente Comercial,Gestão,MG,Feminino,Branco,CLT 40h,Presencial,2017-05-06,2020-11-06,Desligamento por baixa performance,Desligado,19169.76,31,3.0,3,PLR|Seguro de Vida|Auxílio Creche|Stock Options|Vale Refeição|Home Office|Plano Odontológico
FUNC-0145,Marketing,Analista de Marketing Pl,Pleno,SP,Masculino,Branco,CLT 44h,Híbrido,2018-01-22,2020-01-20,Pedido do colaborador,Desligado,5121.0,8,3.8,7,Stock Options|Home Office|Auxílio Creche|PLR
FUNC-0146,Marketing,Analista de Marketing Pl,Pleno,RJ,Masculino,Branco,CLT 44h,Presencial,2022-07-10,,,Ativo,4972.92,18,3.8,0,Home Office|Plano de Saúde|Gympass|Auxílio Creche
FUNC-0147,Jurídico,Advogado Pl,Pleno,RJ,Masculino,Pardo,CLT 40h,Híbrido,2018-11-04,,,Ativo,10759.91,3,4.5,0,Vale Refeição|Plano de Saúde|Gympass|Auxílio Creche
FUNC-0148,Financeiro,Assistente Financeiro,Júnior,SP,Feminino,Branco,CLT 40h,Híbrido,2022-01-18,,,Ativo,2472.46,17,3.8,3,Plano Odontológico|Vale Transporte|Gympass
FUNC-0149,Tecnologia,Desenvolvedor Backend Pl,Pleno,BA,Masculino,Branco,CLT 44h,Presencial,2024-06-21,,,Ativo,7190.72,16,3.7,2,Seguro de Vida|PLR|Vale Refeição|Auxílio Creche
FUNC-0150,Operações,Técnico de Operações Pl,Pleno,CE,Masculino,Amarelo,CLT 40h,Híbrido,2016-04-09,,,Ativo,4069.36,11,3.3,0,Vale Refeição|PLR|Auxílio Creche|Gympass
FUNC-0151,Tecnologia,Desenvolvedor Backend Pl,Pleno,RJ,Masculino,Branco,CLT 44h,Híbrido,2019-08-06,,,Ativo,7633.11,34,3.6,9,Auxílio Creche|Seguro de Vida|Vale Refeição|Home Office
FUNC-0152,Marketing,Coordenador de Marketing,Especialista,SP,Masculino,Preto,CLT 40h,Presencial,2022-01-08,,,Ativo,9303.13,16,4.7,3,Seguro de Vida|Vale Transporte|PLR|Auxílio Creche|Home Office|Plano Odontológico
FUNC-0153,Logística,Analista de Logística Pl,Pleno,SP,Feminino,Branco,CLT 40h,Home Office,2024-06-11,,,Ativo,5446.29,24,,0,Vale Refeição|Plano Odontológico|PLR|Seguro de Vida
FUNC-0154,RH,Gerente de RH,Gestão,SP,Feminino,Branco,CLT 40h,Híbrido,2023-10-09,,,Ativo,21357.27,24,3.0,1,Plano Odontológico|Stock Options|Gympass|Vale Transporte|Vale Refeição|PLR|Plano de Saúde
FUNC-0155,Comercial,Assistente Comercial,Júnior,RS,Masculino,Pardo,CLT 40h,Presencial,2021-06-23,2024-08-11,Desligamento sem justa causa,Desligado,3200.0,12,3.8,0,Plano de Saúde|Plano Odontológico|Seguro de Vida
FUNC-0156,Operações,Operador de Produção,Júnior,RJ,Feminino,Pardo,CLT 40h,Presencial,2017-12-27,,,Ativo,2332.87,31,3.8,5,Gympass|Vale Refeição|Seguro de Vida
FUNC-0157,Financeiro,Assistente Financeiro,Júnior,GO,Masculino,Branco,CLT 44h,Home Office,2019-12-06,2022-10-20,Desligamento sem justa causa,Desligado,3282.61,3,3.0,0,Home Office|Vale Transporte|Seguro de Vida
FUNC-0158,Logística,Analista de Logística Pl,Pleno,SP,Masculino,Pardo,CLT 40h,Noturno,2018-07-01,2019-10-06,Desligamento sem justa causa,Desligado,5921.13,11,4.2,9,Gympass|Plano Odontológico|Vale Transporte|Home Office
FUNC-0159,Operações,Operador de Produção,Júnior,RJ,Masculino,Branco,CLT 40h,Presencial,2024-07-22,,,Ativo,2164.65,13,3.4,4,Plano de Saúde|Seguro de Vida|Stock Options
FUNC-0160,Comercial,Assistente Comercial,Júnior,GO,Feminino,Branco,CLT 40h,Híbrido,2016-01-26,,,Ativo,2354.47,7,2.1,2,Vale Refeição|Plano Odontológico|Home Office
FUNC-0161,Financeiro,Analista Financeiro Sr,Sênior,CE,Feminino,Pardo,CLT 40h,Home Office,2017-03-05,,,Ativo,10499.5,24,4.1,0,Plano Odontológico|Auxílio Creche|Seguro de Vida|Vale Refeição|PLR
FUNC-0162,Marketing,Coordenador de Marketing,Especialista,BA,Masculino,Branco,CLT 40h,Presencial,2022-07-14,,,Ativo,8000.0,21,4.0,1,Plano de Saúde|Auxílio Creche|PLR|Stock Options|Vale Refeição|Plano Odontológico
FUNC-0163,Marketing,Designer Sr,Sênior,MG,Masculino,Pardo,CLT 44h,Híbrido,2021-06-18,,,Ativo,10033.93,38,4.9,0,Vale Refeição|Seguro de Vida|Gympass|Home Office|PLR
FUNC-0164,Financeiro,Analista Financeiro Pl,Pleno,RS,Masculino,Preto,CLT 44h,Híbrido,2021-08-28,2024-05-30,Desligamento sem justa causa,Desligado,8022.89,23,2.3,7,Stock Options|PLR|Seguro de Vida|Gympass
FUNC-0165,Comercial,Analista Comercial Pl,Pleno,SP,Masculino,Não Informado,CLT 44h,Presencial,2018-09-08,,,Ativo,5072.3,17,3.5,2,Home Office|Plano Odontológico|Auxílio Creche|Vale Transporte
FUNC-0166,RH,HRBP Sr,Sênior,PR,Feminino,Pardo,CLT 44h,Híbrido,2024-08-26,,,Ativo,12249.63,26,4.1,0,Vale Transporte|Stock Options|Auxílio Creche|Plano Odontológico|Seguro de Vida
FUNC-0167,Financeiro,Assistente Financeiro,Júnior,CE,Feminino,Preto,CLT 40h,Noturno,2017-09-02,,,Ativo,2345.99,32,3.4,5,Home Office|Gympass|Vale Transporte
FUNC-0168,Operações,Técnico de Operações Pl,Pleno,GO,Feminino,Preto,CLT 44h,Híbrido,,2024-03-07,Desligamento por justa causa,Desligado,3931.0,26,3.6,3,Vale Refeição|Gympass|Vale Transporte|Home Office
FUNC-0169,Comercial,Consultor de Vendas Sr,Sênior,PE,Feminino,Branco,CLT 40h,Presencial,2022-01-18,2023-12-26,Desligamento por baixa performance,Desligado,9395.16,34,4.6,6,Home Office|Vale Refeição|Auxílio Creche|Stock Options|PLR
FUNC-0170,Financeiro,Assistente Financeiro,Júnior,SP,Masculino,Indígena,CLT 40h,Home Office,2024-08-27,,,Ativo,2382.51,17,2.8,0,Gympass|Home Office|Vale Refeição
FUNC-0171,Tecnologia,Gerente de Tecnologia,Gestão,MG,Masculino,Branco,CLT 40h,Presencial,2024-01-20,,,Ativo,25710.42,18,3.8,3,Home Office|PLR|Plano Odontológico|Stock Options|Gympass|Seguro de Vida|Vale Refeição
FUNC-0172,Comercial,Analista Comercial Pl,Pleno,RJ,Masculino,Pardo,CLT 44h,Home Office,2018-10-24,,,Ativo,4440.62,9,3.0,5,Seguro de Vida|Auxílio Creche|Vale Refeição|Plano de Saúde
FUNC-0173,RH,Analista de RH Pl,Pleno,SP,Masculino,Não Informado,CLT 44h,Home Office,2015-02-22,2019-09-13,Pedido do colaborador,Desligado,4036.43,31,3.0,1,Plano de Saúde|Vale Refeição|Vale Transporte|PLR
FUNC-0174,Tecnologia,Desenvolvedor Frontend Jr,Júnior,MG,Masculino,Preto,CLT 40h,Presencial,2023-03-26,,,Ativo,4213.44,22,3.2,0,Seguro de Vida|Auxílio Creche|Plano Odontológico
FUNC-0175,Comercial,Consultor de Vendas Sr,Sênior,RJ,Masculino,Branco,CLT 44h,Presencial,2019-12-16,,,Ativo,10055.72,6,4.7,0,Plano Odontológico|Vale Refeição|Home Office|Auxílio Creche|PLR
FUNC-0176,Financeiro,Coordenador Financeiro,Especialista,PE,Feminino,Branco,CLT 44h,Presencial,2023-03-19,2024-06-15,Pedido do colaborador,Ativo,13693.05,30,3.3,0,Plano Odontológico|Vale Transporte|Plano de Saúde|Home Office|Gympass|PLR
FUNC-0177,Logística,Analista de Logística Pl,Pleno,BA,Masculino,Preto,CLT 44h,Presencial,2016-06-06,2019-07-25,Desligamento sem justa causa,Desligado,4114.9,24,3.5,2,Vale Refeição|PLR|Home Office|Vale Transporte
FUNC-0178,Jurídico,Advogado Jr,Júnior,MG,Masculino,Branco,CLT 44h,Presencial,2016-01-02,2022-09-14,Pedido do colaborador,Desligado,6127.36,21,2.4,0,Stock Options|Vale Refeição|Seguro de Vida
FUNC-0179,Logística,Assistente de Logística,Júnior,RJ,Feminino,Pardo,CLT 40h,Noturno,2020-08-11,2023-03-07,Desligamento por justa causa,Desligado,2192.06,6,3.9,1,PLR|Gympass|Home Office
FUNC-0180,Jurídico,Estagiário Jurídico,Estagiário,RJ,Feminino,Branco,Estágio,Presencial,2020-09-27,2021-07-05,Pedido do colaborador,Desligado,1261.18,4,3.4,4,Stock Options|Vale Transporte
FUNC-0181,Comercial,Analista Comercial Pl,Pleno,RJ,Feminino,Preto,CLT 40h,Híbrido,2017-12-19,2021-02-07,Desligamento sem justa causa,Desligado,4274.48,9,3.3,1,Stock Options|Home Office|Gympass|Plano de Saúde
FUNC-0182,RH,Gerente de RH,Gestão,SP,Masculino,Pardo,PJ,Presencial,2022-09-12,2024-09-14,Pedido do colaborador,Desligado,21173.74,10,4.1,1,Vale Refeição|Plano de Saúde|Vale Transporte|Auxílio Creche|Gympass|Seguro de Vida|Home Office
FUNC-0183,RH,Assistente de RH,Júnior,PE,Masculino,Branco,CLT 40h,Presencial,2017-09-25,2018-04-21,Desligamento sem justa causa,Desligado,2234.87,12,3.0,4,Seguro de Vida|PLR|Home Office
FUNC-0184,Comercial,Coordenador Comercial,Especialista,SP,Feminino,Branco,CLT 40h,Híbrido,2023-11-22,,,Ativo,9663.5,20,3.4,2,PLR|Auxílio Creche|Plano Odontológico|Vale Refeição|Plano de Saúde|Stock Options
FUNC-0185,Comercial,Analista Comercial Pl,Pleno,SP,Masculino,Pardo,CLT 40h,Noturno,2022-04-16,2024-02-18,Desligamento sem justa causa,Desligado,6098.45,14,2.1,4,Plano de Saúde|Gympass|Stock Options|Vale Refeição
FUNC-0186,Comercial,Analista Comercial Pl,Pleno,GO,Masculino,Pardo,CLT 40h,Home Office,2022-06-19,2024-11-25,Desligamento por baixa performance,Desligado,5170.13,26,3.7,7,Home Office|Plano de Saúde|PLR|Auxílio Creche
FUNC-0187,Tecnologia,Analista de Dados Sr,Sênior,PR,Feminino,Branco,CLT 40h,Home Office,2024-02-10,2024-11-14,Pedido do colaborador,Desligado,11283.88,9,3.8,0,PLR|Seguro de Vida|Vale Refeição|Gympass|Vale Transporte
FUNC-0188,Comercial,Consultor de Vendas Sr,Sênior,SP,Masculino,Pardo,CLT 40h,Noturno,,2023-10-12,Desligamento por baixa performance,Desligado,,118,3.1,5,Plano de Saúde|Stock Options|PLR|Vale Refeição|Vale Transporte
FUNC-0189,Comercial,Analista Comercial Pl,Pleno,RS,Feminino,Não Informado,CLT 44h,Híbrido,2021-10-03,2023-03-17,Desligamento sem justa causa,Desligado,4286.74,16,3.9,1,Vale Refeição|Gympass|Stock Options|Auxílio Creche
FUNC-0190,Logística,Assistente de Logística,Júnior,SP,Feminino,Não Informado,CLT 44h,Home Office,2019-04-02,2024-06-15,Pedido do colaborador,Ativo,2466.08,17,3.1,2,PLR|Gympass|Auxílio Creche
FUNC-0191,Financeiro,Analista Financeiro Sr,Sênior,RJ,Masculino,Pardo,CLT 44h,Híbrido,2024-10-21,2024-12-31,Desligamento sem justa causa,Desligado,8312.49,24,3.6,5,Vale Transporte|Vale Refeição|Stock Options|Plano Odontológico|Seguro de Vida
FUNC-0192,RH,HRBP Sr,Sênior,RJ,Feminino,Pardo,PJ,Híbrido,2022-06-21,,,Ativo,11288.78,12,2.0,8,PLR|Plano Odontológico|Auxílio Creche|Plano de Saúde|Seguro de Vida
FUNC-0193,Tecnologia,Tech Lead,Especialista,SP,Feminino,Preto,CLT 44h,Presencial,2016-10-22,2023-12-03,Desligamento sem justa causa,Desligado,22548.89,11,3.9,0,Auxílio Creche|Home Office|Plano Odontológico|Vale Transporte|Vale Refeição|Gympass
FUNC-0194,Comercial,Assistente Comercial,Júnior,SP,Masculino,Pardo,CLT 40h,Híbrido,2017-08-06,,,Ativo,3200.0,25,4.3,0,Vale Refeição|Seguro de Vida|PLR
FUNC-0195,Comercial,Coordenador Comercial,Especialista,RJ,Masculino,Pardo,CLT 40h,Home Office,2020-05-22,,,Ativo,10891.07,6,3.3,2,Home Office|Vale Transporte|Auxílio Creche|Seguro de Vida|Plano Odontológico|Stock Options
FUNC-0196,Marketing,Assistente de Marketing,Júnior,PR,Masculino,Pardo,CLT 44h,Híbrido,2018-05-11,,,Ativo,2680.85,10,3.1,24,Vale Refeição|Gympass|Auxílio Creche
FUNC-0197,RH,Analista de RH Pl,Pleno,MG,Feminino,Branco,CLT 44h,Híbrido,,,,Ativo,,13,3.8,0,Auxílio Creche|Seguro de Vida|Vale Refeição|Stock Options
FUNC-0198,Financeiro,Analista Financeiro Pl,Pleno,PR,Masculino,Branco,CLT 40h,Noturno,2022-10-12,2024-08-24,Pedido do colaborador,Desligado,7934.34,3,3.2,2,Auxílio Creche|Seguro de Vida|Vale Transporte|Stock Options
FUNC-0199,Comercial,Coordenador Comercial,Especialista,SP,Masculino,Branco,CLT 40h,Home Office,2020-12-21,,,Ativo,11436.12,29,4.8,3,PLR|Auxílio Creche|Home Office|Vale Transporte|Vale Refeição|Plano Odontológico
FUNC-0200,Financeiro,Assistente Financeiro,Júnior,PR,Masculino,Branco,CLT 40h,Presencial,2018-07-22,2022-07-03,Desligamento por justa causa,Desligado,2877.42,21,3.3,1,Plano Odontológico|Vale Transporte|Vale Refeição
FUNC-0201,Tecnologia,Desenvolvedor Backend Jr,Júnior,PR,Feminino,Branco,CLT 40h,Presencial,2023-09-16,,,Ativo,4553.74,43,2.3,0,PLR|Vale Refeição|Plano de Saúde
FUNC-0202,Comercial,Assistente Comercial,Júnior,CE,Masculino,Pardo,CLT 44h,Home Office,2021-01-13,2022-12-15,Pedido do colaborador,Desligado,2596.03,13,2.9,3,Vale Refeição|Gympass|Stock Options
FUNC-0203,Comercial,Analista Comercial Pl,Pleno,RJ,Feminino,Branco,PJ,Presencial,2017-03-21,2022-09-02,Desligamento sem justa causa,Desligado,5110.06,13,3.4,0,Home Office|Stock Options|Vale Refeição|Seguro de Vida
FUNC-0204,Comercial,Analista Comercial Pl,Pleno,RJ,Feminino,Branco,CLT 44h,Home Office,2019-10-10,2021-03-11,Desligamento sem justa causa,Desligado,6050.37,6,3.2,3,Home Office|Plano Odontológico|Stock Options|Vale Refeição
FUNC-0205,Tecnologia,Analista de Dados Pl,Pleno,SP,Masculino,Preto,CLT 44h,Híbrido,2024-07-01,,,Ativo,9066.35,24,2.5,4,Gympass|Plano Odontológico|Plano de Saúde|Vale Transporte
FUNC-0206,Marketing,Designer Sr,Sênior,MG,Masculino,Branco,CLT 40h,Híbrido,2016-01-08,,,Ativo,10497.8,6,3.4,3,PLR|Plano de Saúde|Vale Refeição|Seguro de Vida|Vale Transporte
FUNC-0207,Tecnologia,Analista de Dados Pl,Pleno,SP,Masculino,Pardo,CLT 40h,Noturno,2019-07-05,2021-03-14,Pedido do colaborador,Desligado,7472.77,38,3.7,6,PLR|Vale Refeição|Seguro de Vida|Plano Odontológico
FUNC-0208,Tecnologia,Desenvolvedor Backend Pl,Pleno,RS,Feminino,Branco,CLT 44h,Híbrido,2017-02-11,,,Ativo,7247.6,13,3.2,1,Vale Transporte|Plano Odontológico|Auxílio Creche|Plano de Saúde
FUNC-0209,Financeiro,Assistente Financeiro,Júnior,BA,Feminino,Amarelo,CLT 44h,Presencial,2018-03-10,,,Ativo,3048.31,24,3.0,1,Plano Odontológico|Gympass|Vale Refeição
FUNC-0210,RH,Assistente de RH,Júnior,SP,Masculino,Branco,CLT 44h,Híbrido,2019-02-12,,,Ativo,2224.36,25,3.1,2,Plano de Saúde|Vale Transporte|Gympass
FUNC-0211,Marketing,Designer Sr,Sênior,RJ,Feminino,Branco,CLT 40h,Híbrido,2017-05-02,2023-05-03,Desligamento sem justa causa,Desligado,6799.39,6,3.0,0,Vale Transporte|Seguro de Vida|Plano de Saúde|Home Office|Auxílio Creche
FUNC-0212,Operações,Operador de Produção,Júnior,SP,Feminino,Preto,CLT 44h,Home Office,2019-03-04,,,Ativo,2759.49,38,3.7,3,Stock Options|Auxílio Creche|Vale Transporte
FUNC-0213,Comercial,Assistente Comercial,Júnior,MG,Masculino,Branco,CLT 44h,Presencial,2024-04-18,2024-08-18,Término de contrato,Desligado,2299.42,54,3.1,5,Vale Transporte|Vale Refeição|Home Office
FUNC-0214,Marketing,Designer Sr,Sênior,SP,Feminino,Branco,PJ,Presencial,2017-10-01,,,Ativo,10437.89,22,3.1,1,Auxílio Creche|Vale Transporte|Stock Options|Seguro de Vida|Gympass
FUNC-0215,Comercial,Assistente Comercial,Júnior,BA,Feminino,Preto,CLT 40h,Híbrido,2024-01-11,,,Ativo,2083.34,29,4.0,0,Seguro de Vida|Vale Transporte|Home Office
FUNC-0216,RH,Assistente de RH,Júnior,RJ,Feminino,Preto,CLT 40h,Presencial,2015-10-05,,,Ativo,2431.46,29,3.4,0,Seguro de Vida|Plano de Saúde|Plano Odontológico
FUNC-0217,Tecnologia,Desenvolvedor Backend Pl,Pleno,RJ,Não Informado,Não Informado,CLT 40h,Presencial,2023-06-16,,,Ativo,9344.84,22,3.4,4,Vale Refeição|Seguro de Vida|PLR|Auxílio Creche
FUNC-0218,Operações,Gerente de Operações,Gestão,MG,Feminino,Pardo,CLT 44h,Híbrido,2023-07-09,,,Ativo,15852.18,17,4.3,0,Home Office|Plano de Saúde|PLR|Plano Odontológico|Seguro de Vida|Gympass|Stock Options
FUNC-0219,Operações,Técnico de Operações Pl,Pleno,RS,Feminino,Branco,CLT 44h,Presencial,2023-10-25,,,Ativo,5076.18,8,3.5,7,Home Office|Vale Refeição|PLR|Seguro de Vida
FUNC-0220,Marketing,Coordenador de Marketing,Especialista,PR,Feminino,Preto,PJ,Híbrido,2020-01-21,,,Ativo,12337.85,37,4.4,0,PLR|Gympass|Vale Refeição|Plano de Saúde|Plano Odontológico|Stock Options
FUNC-0221,Tecnologia,Desenvolvedor Backend Jr,Júnior,BA,Masculino,Pardo,CLT 44h,Presencial,2021-04-07,2023-09-20,Desligamento sem justa causa,Desligado,,47,2.8,1,Home Office|PLR|Plano Odontológico
FUNC-0222,Tecnologia,Desenvolvedor Frontend Sr,Sênior,SP,Feminino,Branco,PJ,Híbrido,,2022-02-28,Desligamento sem justa causa,Desligado,14620.1,44,3.5,5,PLR|Gympass|Home Office|Plano de Saúde|Stock Options
FUNC-0223,Marketing,Designer Sr,Sênior,SC,Feminino,Branco,CLT 40h,Home Office,2015-11-04,,,Ativo,9845.93,10,2.8,0,Vale Transporte|Stock Options|PLR|Auxílio Creche|Plano de Saúde
FUNC-0224,Operações,Operador de Produção,Júnior,RS,Masculino,Não Informado,PJ,Híbrido,2020-08-21,,,Ativo,2545.63,16,3.5,1,Vale Refeição|Home Office|Stock Options
FUNC-0225,Comercial,Diretor Comercial,Diretoria,SP,Feminino,Pardo,CLT 40h,Noturno,2021-06-25,,,Ativo,36193.85,34,4.7,1,Home Office|Plano de Saúde|Vale Refeição|Stock Options|Vale Transporte|Seguro de Vida|Auxílio Creche|Gympass
FUNC-0226,Tecnologia,Desenvolvedor Frontend Pl,Pleno,CE,Feminino,Branco,CLT 40h,Híbrido,2023-01-18,,,Ativo,9557.9,23,4.2,0,PLR|Home Office|Seguro de Vida|Stock Options
FUNC-0227,Jurídico,Advogado Jr,Júnior,SC,Masculino,Branco,CLT 40h,Presencial,2021-11-07,,,Ativo,6329.52,19,3.5,1,Gympass|Vale Refeição|Auxílio Creche
FUNC-0228,Logística,Coordenador de Logística,Especialista,RJ,Feminino,Branco,CLT 40h,Presencial,2024-06-20,,,Ativo,14000.0,19,3.8,0,Gympass|Seguro de Vida|PLR|Plano de Saúde|Plano Odontológico|Stock Options
FUNC-0229,Comercial,Assistente Comercial,Júnior,GO,Masculino,Preto,CLT 40h,Híbrido,2022-09-11,2023-09-21,Desligamento sem justa causa,Desligado,3056.47,21,2.4,0,Gympass|PLR|Seguro de Vida
FUNC-0230,Operações,Técnico de Operações Pl,Pleno,BA,Feminino,Branco,CLT 44h,Home Office,2020-01-18,,,Ativo,4188.76,13,3.6,4,Seguro de Vida|Gympass|Plano Odontológico|Vale Refeição
FUNC-0231,Jurídico,Estagiário Jurídico,Estagiário,RS,Feminino,Preto,Estágio,Híbrido,2023-12-06,,,Ativo,2000.0,5,3.8,1,PLR|Auxílio Creche
FUNC-0232,Marketing,Coordenador de Marketing,Especialista,SC,Masculino,Pardo,PJ,Home Office,2019-11-23,,,Ativo,11823.08,6,3.8,4,Gympass|Plano de Saúde|Plano Odontológico|Stock Options|Seguro de Vida|Vale Refeição
FUNC-0233,Logística,Assistente de Logística,Júnior,SP,Feminino,Branco,CLT 40h,Híbrido,2020-03-24,2024-04-13,Desligamento por justa causa,Desligado,2403.54,9,3.4,3,Stock Options|Vale Transporte|Gympass
FUNC-0234,Jurídico,Advogado Sr,Sênior,SC,Feminino,Preto,PJ,Híbrido,2017-09-23,2021-01-21,Desligamento por justa causa,Desligado,20565.88,6,3.5,0,Stock Options|Gympass|Plano Odontológico|Vale Transporte|Plano de Saúde
